0.8	1.70E-01	6.96E-06	6.72E-02	-3.50E-05	7.66E-04	1.97E-04	1.38E-05	4.08E-04	1.54E-04	1.68E-04	1.15E-04	1.56E-05	2.88E-04	5.60E-01	0.00E+00	0.00E+00
0.9	2.23E-01	9.57E-06	1.01E-01	5.09E-04	2.47E-03	4.85E-04	3.09E-05	5.61E-04	2.11E-04	2.31E-04	1.58E-04	2.15E-05	3.96E-04	5.70E-01	0.00E+00	2.71E-04
1	2.75E-01	1.22E-05	1.34E-01	1.05E-03	4.17E-03	7.73E-04	4.80E-05	7.14E-04	2.69E-04	2.94E-04	2.02E-04	2.73E-05	5.04E-04	5.80E-01	0.00E+00	5.42E-04
1.3	4.71E-01	2.06E-05	2.21E-01	1.95E-03	7.27E-03	1.22E-03	6.70E-05	1.21E-03	4.54E-04	4.97E-04	3.41E-04	4.62E-05	8.52E-04	5.90E-01	0.00E+00	1.05E-03
1.5	6.23E-01	2.64E-05	2.66E-01	3.35E-03	7.29E-03	9.86E-04	5.13E-05	1.55E-03	5.82E-04	6.37E-04	4.37E-04	5.92E-05	1.09E-03	5.90E-01	0.00E+00	8.45E-04
1.7	7.66E-01	3.22E-05	3.20E-01	4.39E-03	8.61E-03	1.02E-03	5.03E-05	1.89E-03	7.10E-04	7.77E-04	5.33E-04	7.22E-05	1.33E-03	5.90E-01	0.00E+00	9.53E-04
2	9.63E-01	4.06E-05	4.05E-01	6.27E-03	1.07E-02	1.27E-03	5.97E-05	2.38E-03	8.96E-04	9.80E-04	6.72E-04	9.10E-05	1.68E-03	6.00E-01	0.00E+00	1.19E-03
2.5	1.31E+00	5.51E-05	5.50E-01	9.34E-03	1.44E-02	1.54E-03	6.41E-05	3.23E-03	1.22E-03	1.33E-03	9.12E-04	1.24E-04	2.28E-03	6.00E-01	0.00E+00	1.61E-03
3	1.64E+00	6.90E-05	6.87E-01	1.18E-02	1.81E-02	1.73E-03	6.68E-05	4.05E-03	1.52E-03	1.67E-03	1.14E-03	1.55E-04	2.86E-03	6.20E-01	0.00E+00	2.04E-03
4	2.23E+00	9.31E-05	9.14E-01	1.36E-02	2.42E-02	1.82E-03	6.98E-05	5.46E-03	2.05E-03	2.25E-03	1.54E-03	2.09E-04	3.85E-03	7.90E-01	0.00E+00	2.67E-03
5	2.84E+00	1.18E-04	1.15E+00	1.07E-02	3.07E-02	7.29E-03	1.41E-04	6.94E-03	2.61E-03	2.86E-03	1.96E-03	2.65E-04	4.90E-03	9.20E-01	0.00E+00	3.40E-03
7	4.14E+00	1.72E-04	1.67E+00	1.58E-02	4.38E-02	9.76E-03	1.70E-04	1.01E-02	3.80E-03	4.15E-03	2.85E-03	3.85E-04	7.12E-03	1.07E+00	0.00E+00	4.96E-03
8	4.78E+00	1.99E-04	1.92E+00	1.83E-02	5.05E-02	1.08E-02	1.76E-04	1.16E-02	4.38E-03	4.80E-03	3.29E-03	4.45E-04	8.22E-03	1.15E+00	0.00E+00	5.73E-03
12	6.03E+00	3.84E-04	4.06E+00	8.25E-02	1.95E-01	0.00E+00	0.00E+00	2.07E-02	7.59E-03	7.71E-02	6.16E-02	1.18E-02	9.58E-03	1.33E+00	7.98E-04	2.85E-02
13	6.40E+00	4.16E-04	4.46E+00	1.13E-01	2.76E-01	0.00E+00	0.00E+00	4.41E-02	1.65E-02	6.00E-02	2.73E-02	3.98E-03	1.01E-02	1.43E+00	8.92E-04	3.71E-02
15	7.08E+00	4.58E-04	5.19E+00	1.57E-01	6.52E-01	0.00E+00	0.00E+00	1.03E-01	2.56E-02	9.42E-02	5.67E-02	9.84E-03	1.15E-02	1.44E+00	1.01E-03	4.28E-02
18	8.00E+00	5.16E-04	6.26E+00	2.43E-01	1.10E+00	0.00E+00	0.00E+00	2.61E-01	6.04E-02	1.35E-01	5.31E-02	7.05E-03	1.34E-02	1.74E+00	1.06E-03	4.52E-02
20	8.40E+00	5.56E-04	6.72E+00	2.21E-01	1.84E+00	0.00E+00	0.00E+00	1.03E-01	3.59E-02	2.75E-01	1.47E-01	1.53E-02	1.44E-02	2.04E+00	1.05E-03	4.76E-02
22	8.94E+00	5.98E-04	7.49E+00	2.39E-01	2.32E+00	0.00E+00	0.00E+00	6.24E-02	3.61E-02	3.49E-01	1.75E-01	1.86E-02	1.55E-02	2.04E+00	1.09E-03	5.36E-02
25	9.61E+00	6.63E-04	8.63E+00	3.09E-01	3.17E+00	0.00E+00	0.00E+00	3.14E-01	8.88E-02	3.33E-01	1.58E-01	1.78E-02	1.72E-02	2.05E+00	1.14E-03	6.32E-02
30	1.07E+01	7.57E-04	1.04E+01	2.93E-01	4.78E+00	0.00E+00	0.00E+00	4.76E-01	2.94E-01	2.91E-01	9.18E-02	1.29E-02	1.99E-02	1.96E+00	1.26E-03	8.28E-02
35	1.17E+01	8.39E-04	1.19E+01	3.23E-01	5.81E+00	0.00E+00	0.00E+00	8.68E-01	3.00E-01	1.11E-01	1.42E-02	1.19E-03	2.18E-02	3.75E+00	1.30E-03	9.95E-02
40	1.16E+01	8.46E-04	1.32E+01	3.71E-01	6.08E+00	0.00E+00	0.00E+00	1.29E+00	2.38E-01	4.83E-02	9.34E-03	1.23E-03	2.24E-02	5.22E+00	1.29E-03	1.13E-01
100	1.08E+01	1.09E-03	2.89E+01	9.45E-01	9.08E+00	0.00E+00	0.00E+00	6.35E+00	0.00E+00	0.00E+00	0.00E+00	1.65E-03	3.31E-02	4.40E+01	0.00E+00	2.69E-01
